"Name","Version","License"
"Deprecated","1.3.1","MIT License"
"Pygments","2.20.0","BSD-2-Clause"
"RapidFuzz","3.14.3","MIT"
"annotated-doc","0.0.4","MIT"
"annotated-types","0.7.0","MIT License"
"anyio","4.13.0","MIT"
"certifi","2026.2.25","Mozilla Public License 2.0 (MPL 2.0)"
"charset-normalizer","3.4.7","MIT"
"click","8.3.2","BSD-3-Clause"
"cloudpickle","3.1.2","BSD License"
"colorama","0.4.6","BSD License"
"duckdb","1.5.1","MIT License"
"exceptiongroup","1.3.1","MIT License"
"fastapi","0.135.3","MIT"
"h11","0.16.0","MIT License"
"httpcore","1.0.9","BSD-3-Clause"
"httpx","0.28.1","BSD License"
"idna","3.11","BSD-3-Clause"
"iniconfig","2.3.0","MIT"
"joblib","1.5.3","BSD-3-Clause"
"lightgbm","4.6.0","MIT License"
"limits","5.8.0","MIT"
"llvmlite","0.47.0","UNKNOWN"
"loguru","0.7.3","MIT License"
"numba","0.65.0","BSD License"
"numpy","2.2.6","BSD License"
"packaging","26.0","Apache-2.0 OR BSD-2-Clause"
"pandas","2.3.3","BSD License"
"pluggy","1.6.0","MIT License"
"pydantic","2.12.5","MIT"
"pydantic_core","2.41.5","MIT"
"pytest","9.0.2","MIT"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License"
"python-dotenv","1.2.2","BSD-3-Clause"
"pytz","2026.1.post1","MIT License"
"requests","2.33.1","Apache Software License"
"scikit-learn","1.7.2","BSD-3-Clause"
"scipy","1.15.3","BSD License"
"sentry-sdk","2.57.0","BSD License"
"shap","0.49.1","MIT License"
"six","1.17.0","MIT License"
"slicer","0.0.8","MIT License"
"slowapi","0.1.9","MIT License"
"sourceguard","0.1.0","MIT License"
"starlette","1.0.0","BSD-3-Clause"
"tenacity","9.1.4","Apache Software License"
"threadpoolctl","3.6.0","BSD License"
"tqdm","4.67.3","MPL-2.0 AND MIT"
"typing-inspection","0.4.2","MIT"
"typing_extensions","4.15.0","PSF-2.0"
"tzdata","2026.1","Apache-2.0"
"urllib3","2.6.3","MIT"
"uvicorn","0.43.0","BSD-3-Clause"
"win32_setctime","1.2.0","MIT License"
"wrapt","2.1.2","BSD-2-Clause"
