"module name","license","repository"
"@babel/code-frame@7.29.0","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.29.0","MIT","https://github.com/babel/babel"
"@babel/core@7.29.0","MIT","https://github.com/babel/babel"
"@babel/generator@7.29.1","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.29.2","MIT","https://github.com/babel/babel"
"@babel/parser@7.29.2","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.27.1","MIT","https://github.com/babel/babel"
"@babel/template@7.28.6","MIT","https://github.com/babel/babel"
"@babel/traverse@7.29.0","MIT","https://github.com/babel/babel"
"@babel/types@7.29.0","MIT","https://github.com/babel/babel"
"@esbuild/win32-x64@0.25.12","MIT","https://github.com/evanw/esbuild"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@rolldown/pluginutils@1.0.0-rc.3","MIT","https://github.com/rolldown/rolldown"
"@rollup/rollup-win32-x64-gnu@4.60.1","MIT","https://github.com/rollup/rollup"
"@rollup/rollup-win32-x64-msvc@4.60.1","MIT","https://github.com/rollup/rollup"
"@types/babel__core@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.27.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.28.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vitejs/plugin-react@5.2.0","MIT","https://github.com/vitejs/vite-plugin-react"
"baseline-browser-mapping@2.10.14","Apache-2.0","https://github.com/web-platform-dx/baseline-browser-mapping"
"browserslist@4.28.2","MIT","https://github.com/browserslist/browserslist"
"caniuse-lite@1.0.30001785","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"convert-source-map@2.0.0","MIT","https://github.com/thlorenz/convert-source-map"
"dashboard@1.0.0","ISC",""
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"electron-to-chromium@1.5.331","ISC","https://github.com/Kilian/electron-to-chromium"
"esbuild@0.25.12","MIT","https://github.com/evanw/esbuild"
"escalade@3.2.0","MIT","https://github.com/lukeed/escalade"
"fdir@6.5.0","MIT","https://github.com/thecodrr/fdir"
"gensync@1.0.0-beta.2","MIT","https://github.com/loganfsmyth/gensync"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"jsesc@3.1.0","MIT","https://github.com/mathiasbynens/jsesc"
"json5@2.2.3","MIT","https://github.com/json5/json5"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lru-cache@5.1.1","ISC","https://github.com/isaacs/node-lru-cache"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"nanoid@3.3.11","MIT","https://github.com/ai/nanoid"
"node-releases@2.0.37","MIT","https://github.com/chicoxyzzy/node-releases"
"picocolors@1.1.1","ISC","https://github.com/alexeyraspopov/picocolors"
"picomatch@4.0.4","MIT","https://github.com/micromatch/picomatch"
"postcss@8.5.8","MIT","https://github.com/postcss/postcss"
"react-dom@18.3.1","MIT","https://github.com/facebook/react"
"react-refresh@0.18.0","MIT","https://github.com/facebook/react"
"react@18.3.1","MIT","https://github.com/facebook/react"
"rollup@4.60.1","MIT","https://github.com/rollup/rollup"
"scheduler@0.23.2","MIT","https://github.com/facebook/react"
"semver@6.3.1","ISC","https://github.com/npm/node-semver"
"source-map-js@1.2.1","BSD-3-Clause","https://github.com/7rulnik/source-map-js"
"tinyglobby@0.2.15","MIT","https://github.com/SuperchupuDev/tinyglobby"
"update-browserslist-db@1.2.3","MIT","https://github.com/browserslist/update-db"
"vite@6.4.1","MIT","https://github.com/vitejs/vite"
"yallist@3.1.1","ISC","https://github.com/isaacs/yallist"
